Category;Title;Link
Jornalismo;RJ abrirá shoppings por 24 horas e fecha escolas municipais ;https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/12/04/governo-e-prefeitura-do-rio-anunciam-novas-medidas-contra-a-covid-19.ghtml
Jornalismo;Força-tarefa contra aglomeração começa a atuar hoje em São Paulo;https://g1.globo.com/sp/sao-paulo/noticia/2020/12/03/governo-de-sp-contrata-mil-agentes-para-forca-tarefa-de-fiscalizacao-de-medidas-da-quarentena-no-estado.ghtml
Jornalismo;Jornal: SinoVac já subornou para aprovar vacinas;https://oglobo.globo.com/sociedade/2020/12/04/582327-sinovac-subornou-autoridades-chinesas-para-aprovar-vacinas-de-2002-2011-diz-jornal?utm_source=globo.com&utm_medium=oglobo
Jornalismo;Anvisa encerra visita de inspeção à SinoVac;https://valor.globo.com/brasil/noticia/2020/12/04/anvisa-encerra-inspeo-na-sinovac-certificao-deve-ser-concedida-at-primeira-semana-de-janeiro.ghtml
Jornalismo;Russos já podem agendar vacina via internet (João Paulo Barbosa);https://oglobo.globo.com/sociedade/vacinacao-em-massa-contra-covid-19-comeca-na-russia-moradores-de-moscou-ja-agendam-imunizacao-via-internet-24780614?utm_source=globo.com&utm_medium=oglobo
Jornalismo;Chinesa alerta para novos vírus de morcego;https://oglobo.globo.com/sociedade/582327-virologista-de-wuhan-diz-que-morcegos-do-sul-da-asia-ja-possuem-outros-coronavirus-que-podem-infectar-humanos-24780845?utm_source=globo.com&utm_medium=oglobo
Jornalismo;Vacina: Moderna imuniza por ao menos 3 meses ;https://epocanegocios.globo.com/Empresa/noticia/2020/12/vacina-da-moderna-garante-ao-menos-3-meses-de-imunidade.html??
Jornalismo;Seul vai 'parar' às 21h e pede 'Natal on-line';https://oglobo.globo.com/mundo/para-combater-covid-19-seul-vai-parar-as-21h-governo-pede-natal-on-line-24780891?utm_source=globo.com&utm_medium=oglobo
Jornalismo;Ônibus cai em MG, e PRF cita 'várias vítimas' (Redes sociais);https://g1.globo.com/mg/minas-gerais/noticia/2020/12/04/onibus-cai-de-viaduto-em-joao-monlevade.ghtml
Jornalismo;"GloboNews mostra o resgate; veja AO VIVO";https://g1.globo.com/globonews/ao-vivo/globonews-ao-vivo.ghtml
Jornalismo;"Bando rouba 
peças em Recife de Brennand (Reprodução/WhatsApp)";https://g1.globo.com/pe/pernambuco/noticia/2020/12/04/obras-de-francisco-brennand-sao-roubadas-do-parque-das-esculturas-no-recife.ghtml
Jornalismo;Vídeo: obras ficavam no Parque das Esculturas;https://globoplay.globo.com/v/9074496/
Jornalismo;Alvo de Flávio é exonerado na Receita Federal ( Foto: Jorge William / Agência O Globo);https://valor.globo.com/politica/noticia/2020/12/04/alvo-de-flvio-bolsonaro-exonerado-na-receita-em-meio-presso-para-anular-provas-de-rachadinha.ghtml
Jornalismo;Bolsonaro dá bronca em Eduardo após post;https://blogs.oglobo.globo.com/bela-megale/post/bronca-de-bolsonaro-em-eduardo-apos-post-sobre-china-e-5g.html?utm_source=globo.com&utm_medium=oglobo
Esporte;"Libertadores define 
datas das quartas; 3 brasileiros garantidos (Divulgação / Conmebol)";https://globoesporte.globo.com/futebol/libertadores/noticia/conmebol-define-datas-e-horarios-dos-jogos-das-quartas-de-final-veja-o-calendario.ghtml
Esporte;Único brasileiro vivo na Sula, Bahia pega  Defensa fora na 4ª ;https://globoesporte.globo.com/ba/futebol/times/bahia/noticia/copa-sul-americana-bahia-encara-defensa-y-justicia-na-proxima-quarta-decisao-sera-na-argentina.ghtml
Esporte;Fifa anuncia Mundial com o formato atual em dezembro de 2021;https://globoesporte.globo.com/futebol/mundial-de-clubes/noticia/fifa-anuncia-mundial-de-clubes-em-dezembro-de-2021-no-antigo-formato.ghtml
Esporte;"Russell brilha e lidera 1º treino, e Fittipaldi é o 19º; siga o 2º treino (Divulgação)";https://globoesporte.globo.com/motor/formula-1/ao-vivo/gp-de-sakhir-a-16-etapa-da-temporada-2020-de-f1.ghtml
Esporte;Wolff diz que Hamilton não está bem: 'Em boas mãos';https://globoesporte.globo.com/motor/formula-1/noticia/wolff-diz-que-lewis-nao-esta-bem-e-freia-empolgacao-com-russell-ao-citar-dano-em-carro-de-bottas.ghtml
Entretenimento;Bebê prematura de Alok e Romana testa negativo para Covid (Reprodução/Instagram);https://revistaquem.globo.com/QUEM-News/noticia/2020/12/filha-de-alok-e-romana-novais-testa-negativo-para-covid-19.html
